Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
wa,NDWEST,11/10/2019,cr,160,,pl,sab,80,NPDC/ND WESTERN 10'' UTOROGU-UPS DELIVERY LINE AT OTOR-EDO.,5.4736111,5.9,Ughelli-South,sw,DE,State
wa,Heritage,11/3/2019,cr,1370,1300,other:trunk line,sab,81,12'' EVWRENI - UPS LINE AT EVWRENI.,5.3805556,6.0372222,Ughelli-North,ss,DE,State
by,NAOC,10/30/2019,cr,198,170,tf,ome,82,CRUDE OIL PRODUCTION TANKS 3 & 4 AT BRASS TERMINAL TANK FARM,4.3022222,6.2491667,Brass,sw,BY,State
wa,NDWEST,10/20/2019,cr,240,,other:trunkline,sab,83,10'' UTOROGU-UPS TRUNKLINE AT UGHEVWUGHE,5.3561111,5.9144444,Ughelli-South,"la,sw",DE,State
wa,Heritage,9/22/2019,cr,1403.6,1387.6,pl,eqf,84,24'' UPS RAPELE LINE AT EKPAN.,5.5733333,5.7391667,Uvwie,la,DE,State
ph,SPDC,9/20/2019,cr,157,,pl,sab,85,"4"" OBELLE IBAA DELIVERY LINE AT IBAA, EMOHUA LGA",4.9967111,6.8065306,Emuoha,la,RI,State
ph,Aiteo E&P,9/10/2019,cr,343,,pl,sab,86,30'' NCTL SANBARTH-AWOBA PIPELINE AT ELEM-KALABARI,4.5724889,6.9319167,Degema,,RI,State
wa,NDWEST,9/6/2019,cr,150,,,sab,87,OKPARE - OTOR - EDO RIVER,5.4561389,5.8945278,Ughelli-South,"la,iw",DE,State
ph,SPDC,8/31/2019,cr,434,,pl,sab,88,"4"" Obelle - Ibaa Pipeline (Delivery Line) at Ibaa",4.97168,6.80431,Emuoha,"la,sw",RI,State
ph,SPDC,8/30/2019,cr,155,,pl,sab,89,20” Rumuekpe – Nkpoku Trunkline Right of way at Ibaa,4.95455,6.80826,Emuoha,"la,ss",RI,State
ph,Eroton E&P,8/29/2019,cr,119,,wh,sab,90,Alakre well 34T at Ofiominama.,4.6447222,7.0594444,Okrika,"la,sw",RI,State
